Time,Country,Access to clean fuels and technologies for cooking (% of population) ,Renewable energy consumption (% of total final energy consumption) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Renewable electricity output (% of total electricity output) ,Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+) ","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+) ",Fossil fuel energy consumption (% of total) ,"Electricity production from renewable sources, excluding hydroelectric (kWh) ","Central government debt, total (% of GDP) ",Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
2021,Albania,83.6,41.9,100.0,100.0,100.0,,2509.89982451685,45.0351457227794,1367734.0,16.8917694091797,90.1680679321289,93.6057586669922,,,97.5423355102539,98.1187286376953,19.4729270935059,45.69,42.59,56.22,41710000.0,81.9201331889469,113.324263171913,6.50561490957785,2.04147163139545
2021,Argentina,99.9,9.2,100.0,100.0,100.0,25.5361113468556,2942.91077511635,42.4041313742487,20993886.0,,,,,,,,,73.75,69.56,87.4,13880960000.0,,96.945271229393,7.83661395979877,
2021,Armenia,98.0,9.1,100.0,100.0,99.9,30.0380758979566,2262.09364345272,50.9312878898809,1495617.0,27.7017383575439,98.9809951782227,99.3359527587891,56.8300971984863,50.9187088012695,99.7414169311523,99.8019409179688,29.2583923339844,52.18,59.38,78.22,165700000.0,60.080359768226,107.857008842587,10.9441131132779,7.18483629443371
2021,Australia,100.0,12.3,100.0,100.0,100.0,26.6608674695166,9848.54749458564,47.1749288751872,13821829.0,32.9900016784668,94.5199966430664,94.5800018310547,56.4599990844727,48.1100006103516,99.6800384521484,100.0,38.7999992370605,100.0,98.59,91.53,55600000000.0,70.0109117652417,96.1890803721506,3.20656117385791,2.86391042204994
2021,Austria,100.0,36.0,100.0,100.0,100.0,79.9114280061055,8381.61025757953,46.7129957870693,4650207.0,16.5626392364502,98.5450592041016,99.0268936157227,32.3056716918945,34.1247978210449,99.9999694824219,99.9999694824219,16.6453037261963,100.0,99.9,64.9,14003130000.0,96.0278211815402,99.1366789303958,2.492931518597,2.7666666666667
2021,Bangladesh,26.4,25.0,99.0,98.5,99.7,1.50205511687497,574.118203146015,35.7881798220608,72755656.0,12.789999961853,45.3600006103516,52.0999984741211,13.5799999237061,22.2700004577637,57.0699996948242,64.25,6.92000007629395,43.46,62.86,82.5,742190000.0,,105.676920936264,20.8277384040526,5.54565430773473
2021,Barbados,100.0,5.5,100.0,100.0,100.0,7.32507956609401,,50.0043904383008,148049.0,,,,,,,,,,,,87920000.0,,,,
2021,Belgium,100.0,11.7,100.0,100.0,100.0,23.5469068829941,7680.00193333532,46.6328440425,5217415.0,36.651912689209,87.8339614868164,90.726936340332,42.4268569946289,39.0090293884277,96.453498840332,97.2008895874023,40.3261184692383,98.65,99.37,67.18,22307400000.0,108.445297214838,98.1310935941277,3.8028487616935,2.44024851144084
2021,Bolivia,88.3,12.8,98.6,95.1,100.0,38.2551705119956,833.601399304369,45.7917932047678,6426918.0,16.2212467193604,58.4099998474121,69.5199966430664,27.6095085144043,27.1238498687744,64.0800018310547,75.1699981689453,16.356761932373,63.29,74.04,84.13,925780000.0,,103.37070474402,,0.737383721452275
2021,Bosnia and Herzegovina,40.9,36.6,100.0,100.0,100.0,39.3396633577902,3835.85723720279,41.781557149456,1370363.0,11.3161611557007,61.6673622131348,82.3170852661133,19.2820777893066,17.8988666534424,85.3159103393555,95.8196868896484,12.0636463165283,70.37,88.71,79.95,496000000.0,46.9748191378299,113.600640934544,1.51220444054424,1.98163900587622
2021,Botswana,65.4,27.4,73.7,25.0,93.1,0.254047322540473,1455.7925845357,46.2925139863245,1036012.0,9.36865234375,69.9438781738281,72.5497207641602,29.1568965911865,30.3034534454346,90.0067291259766,88.1280517578125,8.30223751068115,,,66.27,6120000.0,,102.195108664477,1.70232678290708,7.24097765588442
2021,Brazil,96.5,46.5,99.5,97.3,99.8,77.3753492178891,2723.96659104663,43.0075756040014,104085430.0,,67.4000015258789,64.9700012207031,,,86.5699996948242,85.4499969482422,,80.87,87.05,53.72,144848630000.0,85.0115036701985,99.4374700132333,23.935768122229,8.30165975585673
2021,Bulgaria,,20.4,99.8,99.5,99.9,22.1918096199125,5261.46440772794,46.1755006342007,3252125.0,22.2995719909668,95.1631698608398,96.7388916015625,30.1665000915527,22.6712970733643,98.9873733520508,99.3213653564453,29.8617286682129,84.32,83.59,65.86,5489200000.0,32.7213944823671,97.5160399961702,1.32799708932145,3.29774435299515
2021,Burkina Faso,15.8,71.2,19.0,,67.6,13.982068141064,129.709864992171,44.462168837473,6176046.0,3.9516499042511,7.78822994232178,16.0786800384521,,,16.136360168457,27.6204204559326,1.17656004428864,30.68,42.35,24.89,106920000.0,55.5822235545459,96.8262116284175,8.62379397927597,3.65353287214209
2021,Cambodia,47.2,52.4,82.5,77.1,98.9,56.4018810620163,725.390524089204,48.2283721430601,9341945.0,6.1717700958252,16.44873046875,29.0128993988037,4.16995286941528,7.72569990158081,35.2416610717773,52.8918418884277,3.23664999008179,32.52,34.41,55.82,507940000.0,,99.7543374472379,1.85235096785957,2.92073477592949
2021,Canada,100.0,23.8,100.0,100.0,100.0,67.2868623475815,14782.8716127233,47.0485134191502,21005652.0,27.6700000762939,95.6152420043945,96.2860412597656,62.9199981689453,61.4599990844727,95.6152420043945,96.2860412597656,30.8999996185303,99.51,99.77,76.34,49828000000.0,71.0739602315819,99.9745741467541,5.21937669967861,3.39519318527528
2021,Chile,100.0,24.2,100.0,100.0,100.0,48.0821990956395,4306.7208858565,40.920646423243,9171143.0,20.3219699859619,85.0017929077148,88.0690612792969,27.8540439605713,28.0212020874023,90.967399597168,92.8306655883789,18.9309692382812,86.62,87.56,70.71,22973990000.0,,100.891280249983,3.54372318434982,4.52456838259144
2021,China,85.9,15.2,100.0,100.0,100.0,28.427997926748,5847.80226004701,45.114320356218,781187865.0,,,,,,,,,87.34,89.92,87.16,1105539040000.0,,97.0620027287315,3.4419404251668,0.981015135544882
2021,Colombia,93.1,29.7,100.0,100.0,100.0,72.688526665976,1569.1710661367,41.0345266672094,25915910.0,,59.2900009155273,56.6599998474121,,,81.7099990844727,80.3499984741211,,56.2,63.51,76.07,827250000.0,80.3666516174088,107.66513448384,12.7782491036127,3.49505757399448
2021,"Congo, Dem. Rep.",4.3,96.3,20.8,1.0,43.8,90.3982710244938,133.667602188594,48.1367974074203,35154175.0,,,,,,,,,,,2.86,-1210180000.0,,99.7096522903166,0.557011168639761,
2021,Costa Rica,96.2,34.2,100.0,100.0,99.8,99.3668053701814,2111.26982909841,41.4550240016251,2490873.0,,50.189998626709,48.0800018310547,,,83.75,83.7600021362305,,61.08,76.34,50.17,3371350000.0,,98.4289282487777,16.0641742418659,1.72647755109241
2021,Cote d'Ivoire,40.3,58.2,71.1,45.2,94.9,22.7930735930736,308.099910201629,42.7302232194757,11440310.0,6.69000005722046,20.0100002288818,32.6800003051758,6.76000022888184,12.3900003433228,25.7800006866455,38.9900016784668,3.07999992370605,37.44,64.01,35.9,23600000.0,,100.521497102363,14.8113398704174,4.09195189692863
2021,Croatia,100.0,34.1,100.0,100.0,100.0,69.8809993425378,4506.59593331341,46.0777956544586,1724158.0,16.9339694976807,93.0956039428711,97.1693420410156,24.4859180450439,21.0686283111572,98.8520202636719,99.5971450805664,20.7776508331299,89.96,93.93,66.42,3400900000.0,91.1707084180748,102.749020069014,4.45653656154736,2.55450699642041
2021,Cyprus,100.0,15.6,100.0,100.0,100.0,15.1349873022075,3716.66784330783,44.6115472185408,735675.0,32.0868949890137,82.9875640869141,86.3962631225586,45.0436592102051,40.224536895752,96.096794128418,97.9654235839844,31.5051383972168,92.7,93.62,86.87,774760000.0,,95.3121101672452,4.2117025800263,2.44608867175474
2021,Czechia,100.0,17.2,100.0,100.0,100.0,14.0234899723578,6690.60779160256,44.2875704230524,5242069.0,22.1672801971436,99.86962890625,99.8209838867188,60.0756683349609,53.9228401184082,99.8981781005859,99.8424377441406,23.4922466278076,93.44,96.48,70.25,8303070000.0,,96.2780260171804,2.31247683033459,3.83984491500146
2021,Denmark,100.0,39.5,100.0,100.0,100.0,78.958880484115,6160.08959261076,46.926476353051,3079023.0,28.028263092041,90.3643493652344,92.3938293457031,40.9418563842773,33.0449676513672,98.4768218994141,99.3467864990234,36.720703125,100.0,100.0,53.53,26079910000.0,,93.7631958881996,1.00067624992885,1.8530454398968
2021,Dominican Republic,92.4,14.8,98.1,94.8,98.8,18.5170592634137,1714.48205578904,40.977308174364,5099149.0,9.1821174621582,67.5100021362305,64.2300033569336,16.3688220977783,9.32167625427246,74.7699966430664,73.6900024414062,16.2368927001953,48.96,53.7,88.12,2103910000.0,,109.229462908226,18.9576345146679,8.24300347981809
2021,El Salvador,92.9,21.9,97.9,94.1,99.2,95.5593380614657,1070.6894837448,41.1724379863454,2739437.0,,44.5499992370605,50.5800018310547,22.445556640625,24.9879684448242,59.3699989318848,66.1100006103516,,29.23,44.8,51.37,4242240000.0,66.4690525886664,124.28211963307,11.074827718446,3.46692585313082
2021,Estonia,100.0,38.0,100.0,100.0,100.0,39.9573847862299,6644.21623343642,48.7800056882821,703200.0,26.1854763031006,98.7935333251953,99.1004333496094,55.4591331481934,38.1158103942871,99.8661193847656,99.7669143676758,36.5166091918945,99.6,99.12,65.31,2855530000.0,24.5944842740264,100.61480647401,0.193777037421066,4.65316673847473
2021,Fiji,54.0,29.7,92.1,86.8,96.0,60.0656085236255,,34.1278206295214,375714.0,10.7870397567749,66.0850296020508,61.269401550293,,,91.4405822753906,90.9204788208008,9.27676963806152,,,,108960000.0,,127.218552180626,17.1738754944798,0.155855722131516
2021,Finland,100.0,50.2,100.0,100.0,100.0,52.9302986606029,15646.5861772306,47.6190425169066,2799945.0,25.5287227630615,89.533576965332,89.6693954467773,43.3006172180176,34.1927490234375,99.9518203735352,99.9171981811523,30.7561550140381,99.08,100.0,36.31,22382390000.0,,99.9344760495892,1.22108861706105,2.19457432340007
2021,France,100.0,16.2,100.0,100.0,100.0,22.826838196879,6942.44523564921,48.4182420961172,31181921.0,22.7441635131836,89.2709808349609,92.3115081787109,37.3554992675781,34.4482879638672,100.0,100.0,23.1135864257812,100.0,98.42,47.34,62761670000.0,115.58850689623,101.212382764451,3.07667323376769,1.64233141038385
2021,Georgia,90.9,25.2,100.0,100.0,99.9,81.3667062079873,3604.85464904641,47.7425465749264,1774721.0,33.4094123840332,98.0827102661133,98.7290191650391,55.4708709716797,48.9546508789062,99.4456024169922,99.5731201171875,34.8414726257324,70.71,70.25,75.86,106820000.0,54.7271260127791,116.252415848758,5.18531948509415,9.56691433824769
2021,Germany,100.0,17.6,100.0,100.0,100.0,39.8305665158005,6582.54587433797,46.4180323865489,43283278.0,33.4534606933594,93.1566390991211,93.9384689331055,37.3850593566895,41.559196472168,98.6864624023438,99.3337097167969,24.8310642242432,100.0,99.95,77.03,211143200000.0,,94.8414507433781,0.976158361457174,3.06666666666673
2021,Greece,100.0,21.5,100.0,100.0,100.0,40.542525208242,4997.1582541623,44.7207604950818,4573547.0,29.085132598877,72.2298202514648,79.2744293212891,36.1804122924805,36.448543548584,95.9393463134766,97.9271926879883,27.3331069946289,93.43,96.33,81.81,16233600000.0,233.448695008579,107.491838597389,5.64754145062959,1.22382501019854
2021,Guatemala,45.0,62.1,97.9,98.1,97.6,60.6611986566779,784.094234500942,33.1894370163203,6800730.0,,32.9715232849121,29.3028564453125,,,48.5837097167969,58.5747566223145,,,,35.64,2731780000.0,,113.998060791921,13.4309783450153,4.26105127422813
2021,Honduras,49.4,45.9,94.1,85.7,100.0,64.6209532374101,780.475801605792,39.6571539326702,4395792.0,,,34.892276763916,4.17710208892822,4.37380313873291,61.932975769043,61.4457244873047,,28.85,48.56,53.21,3420850000.0,,124.641846740067,,4.48087963413445
2021,Hungary,100.0,15.3,100.0,100.0,100.0,19.1445182724252,4719.10549768272,46.4925550424846,4912251.0,23.6860294342041,98.0978240966797,98.9972076416016,33.3396110534668,30.0965156555176,99.5860061645508,99.6969757080078,27.7006206512451,86.88,89.73,67.9,6703000000.0,86.9236862466223,99.8059975643138,6.06394341980823,5.11096534382855
2021,Iceland,100.0,82.4,100.0,100.0,100.0,,51135.5095028455,45.9563416102738,222546.0,28.4871559143066,99.8702087402344,99.8419494628906,47.5507850646973,43.5365676879883,99.8702087402344,99.8419494628906,40.1043319702148,100.0,100.0,11.11,5814160000.0,95.8217048268859,101.728096355834,12.3594773915544,4.44423970189739
2021,Indonesia,87.2,20.2,99.2,98.2,99.9,18.0673360094084,1028.37477325366,39.6300377739763,135672770.0,9.42133045196533,53.6630058288574,60.4325675964355,12.7075433731079,11.6570901870728,82.3444213867188,87.5258026123047,9.54952239990234,52.3,51.18,75.94,31069820000.0,,96.324627286146,,1.56012990525673
2021,Ireland,100.0,12.7,100.0,100.0,100.0,37.3489218794137,6167.09489299375,46.3698521586657,2568091.0,36.2288970947266,90.1366958618164,89.5482711791992,62.0939750671387,56.9747886657715,98.5882720947266,99.2185897827148,39.1772079467773,99.53,99.8,86.58,10864740000.0,62.1665685484345,58.3804319620943,3.41260597010586,2.34034113447044
2021,Israel,100.0,6.2,100.0,100.0,100.0,7.63056263212098,6809.86832276928,47.9767338247108,4275735.0,33.7175941467285,90.4493942260742,92.6890487670898,52.1569938659668,44.957332611084,95.2164077758789,97.4428939819336,40.4751586914062,91.93,93.97,97.42,5631050000.0,,96.9987396334208,8.17542767848765,1.51020047690539
2021,Italy,100.0,17.5,100.0,100.0,100.0,40.9735703240403,5290.22854904133,42.4567789364276,25032297.0,14.694278717041,79.2322387695312,85.9351348876953,19.3520317077637,15.7796039581299,96.7913513183594,98.3558959960938,17.7843914031982,97.09,97.48,78.28,70963890000.0,,97.9587653216481,8.44362371964955,1.87378325762481
2021,Japan,100.0,8.8,100.0,100.0,100.0,21.1048138398969,7959.55856479318,44.3721839870396,68671337.0,,,,,,,,,98.84,98.12,86.74,132704000000.0,216.329364856741,100.520530016573,,-0.233352779398264
2021,Kazakhstan,93.3,2.0,100.0,100.0,100.0,10.9976885243053,5321.52110230336,48.9693422783938,10012975.0,,,,,,,,,83.63,78.29,98.46,3447920000.0,22.4120405815457,89.444065655368,8.89201718246527,8.04147134028396
2021,Kenya,26.4,67.7,76.5,68.2,97.5,78.0821751777634,184.426039295693,47.019158752771,22012863.0,7.08959150314331,67.5824508666992,78.748291015625,5.19816112518311,8.42582702636719,81.7079086303711,90.9925689697266,4.4461841583252,75.36,83.24,20.8,5988450000.0,,108.034254703865,23.4089223789498,6.10793603659176
2021,"Korea, Rep.",100.0,3.6,100.0,100.0,100.0,6.77240142487025,11397.3392731969,43.1330825839844,28560792.0,39.6169204711914,83.6950988769531,93.483642578125,41.4524078369141,52.5475425720215,95.5400314331055,99.0732421875,28.9895114898682,98.68,98.66,82.19,34538010000.0,48.955278643504,96.4449931100325,3.32515319325515,2.49833333333339
2021,Kosovo,,,,,,6.37447655640132,,,,,,,,,,,,47.39,68.9,,142360000.0,,131.820065029923,,3.35369139207997
2021,Kyrgyz Republic,77.3,27.6,99.7,99.6,99.8,85.5934733782534,1975.4134443714,41.6410966807095,2981360.0,,,,,,,,,43.76,46.54,70.29,140000.0,56.3623694600643,128.650197105643,2.39965159752016,11.9050398185147
2021,Latvia,100.0,44.0,100.0,100.0,100.0,63.5961341087923,3838.17372339466,49.3888152775149,950940.0,25.5066566467285,96.9889755249023,98.8349456787109,53.2173919677734,41.2630653381348,97.8791427612305,99.3867034912109,35.9120864868164,97.55,95.51,53.05,1010830000.0,,103.173911966127,1.5796707838096,3.27582937431156
2021,Lebanon,,6.8,100.0,100.0,100.0,5.07230201863354,1750.05010386277,31.6648669852665,1896632.0,,,,,,,,,16.59,24.65,93.89,-88350000.0,,126.777364785407,13.5908223351618,154.756096023393
2021,Lesotho,41.1,33.6,50.4,37.7,80.6,99.7862526718416,,44.393847265284,830525.0,,,,,,,,,,,,780000.0,,146.894300664057,2.40864972193986,6.04774591950676
2021,Lithuania,100.0,33.2,100.0,100.0,100.0,65.6144151240646,4711.44539189864,49.5036417606558,1481289.0,35.8072776794434,96.6284790039062,98.1472320556641,65.7919921875,55.3560829162598,99.292106628418,99.4771270751953,43.7648849487305,90.38,96.99,62.69,2238900000.0,47.9378829041006,95.5468488855844,1.39381523157208,4.68354420903453
2021,Luxembourg,100.0,20.5,100.0,100.0,100.0,89.0447963800905,12151.9098090191,46.1085500959751,330815.0,42.6705589294434,89.4878845214844,90.7828826904297,46.1569862365723,49.5096054077148,97.5843124389648,98.0208892822266,40.7614822387695,,,74.02,883890000.0,,66.6958408178123,0.347271725687034,2.52692009066166
2021,Madagascar,1.45,83.6,35.1,10.9,72.6,34.0290027810886,80.2934672339167,48.7553079858448,15102009.0,3.41530990600586,15.9009799957275,21.2205009460449,,,38.9394683837891,43.7580108642578,2.49875998497009,,,13.7,89510000.0,,108.908471010005,5.41362524812497,5.81225118787715
2021,Malawi,1.5,71.1,14.2,5.6,54.2,80.0551584735492,,49.2614272440293,7724019.0,,,,,,,,,38.14,47.75,,177480000.0,,,24.7721619492629,9.33014410835212
2021,Malaysia,86.0,7.5,100.0,100.0,100.0,17.0004556137729,4860.27830199398,36.9557837173773,17243512.0,16.0446376800537,86.7094039916992,86.8067855834961,28.5272617340088,28.8884868621826,96.4194107055664,96.9665451049805,16.9167175292969,87.51,89.23,95.82,-504090000.0,63.2668366732951,92.7698835274889,16.2860332189783,2.47710241465447
2021,Maldives,99.7,1.4,100.0,100.0,100.0,5.82133253659994,,22.8934938290416,262520.0,,,,,,,,,,,,48710000.0,,90.4093263688864,9.73153770268114,0.543149688737013
2021,Malta,100.0,8.6,100.0,100.0,100.0,11.8897922312556,4936.97641050959,40.8432651384787,282426.0,21.6781253814697,84.4356307983398,89.7946090698242,33.2437400817871,35.7639579772949,99.0891571044922,99.4957122802734,23.434549331665,95.33,97.57,88.08,263240000.0,,83.4546504893242,3.18007304054687,1.49789217934724
2021,Mauritius,99.0,8.6,99.6,99.8,99.3,21.682820855615,2211.89670339737,38.4005052488563,565266.0,0.0,58.7585487365723,66.4005279541016,0.0,0.0,93.4451675415039,97.4571151733398,0.0,89.4,91.74,87.3,542750000.0,,110.1276714835,9.46200697224062,4.02852888157383
2021,Mexico,85.7,13.0,100.0,100.0,99.9,21.4759809525807,2650.73959396575,38.8956181944697,56864048.0,,66.4350738525391,65.3687438964844,,,83.7100982666016,85.5228271484375,,,,88.64,47364660000.0,44.8609557980964,101.437966653449,15.8259382639258,5.68920847683753
2021,Moldova,97.4,21.4,100.0,100.0,100.0,6.50292924740874,2401.17820687115,53.7330026227091,1503026.0,18.4899997711182,97.3899993896484,98.5199966430664,22.0862789154053,18.4930610656738,99.5999984741211,99.5299987792969,22.0900001525879,62.92,65.7,83.5,116900000.0,32.1187790600053,127.173311114547,2.64945699607183,5.10641129002836
2021,Mongolia,52.9,3.0,100.0,100.0,100.0,10.9483384905153,2427.49075653249,44.0636570761922,1366321.0,27.7742557525635,92.6094818115234,89.8047561645508,68.0478439331055,63.7420196533203,97.0610427856445,95.3407516479492,37.1015510559082,98.97,97.89,95.03,735790000.0,67.5710143237735,104.63434450674,6.16819515777145,7.35281243380219
2021,Morocco,98.0,10.9,100.0,100.0,100.0,19.319165433143,950.467605491107,22.7575490518184,12266110.0,,,,,,,,,32.7,55.97,90.26,7010430000.0,,109.251247294493,8.7322327235262,1.40195883962006
2021,Nepal,38.4,73.7,89.9,,94.2,83.8289732189019,306.293365125237,36.5387806753205,8237363.0,,26.5851192474365,43.1910285949707,,,36.4118003845215,58.9935607910156,,49.9,58.61,28.01,-1476900000.0,39.9222686422289,128.790750321404,3.85657960803328,4.14968003360264
2021,Netherlands,100.0,12.2,100.0,100.0,100.0,33.148092028208,6704.42622513238,47.1300090887312,9842958.0,36.8335609436035,90.0527572631836,92.4684295654297,37.153507232666,38.8782501220703,98.184211730957,98.2888870239258,34.2246856689453,99.47,100.0,86.2,40383500000.0,,90.2548370814873,1.37852571431798,2.67572008805385
2021,New Zealand,100.0,28.9,100.0,100.0,100.0,81.43872312762,8160.1549507953,47.293248122804,2919514.0,,,,,,,,,99.24,98.23,58.39,12097000000.0,51.369754769912,103.875048103468,2.7790937589294,3.94112060778728
2021,Nicaragua,58.1,50.4,86.3,66.3,100.0,69.5093757417517,618.233276511455,38.6879652493112,3036947.0,18.8273391723633,60.5289916992188,63.1129302978516,,,82.805778503418,87.2585601806641,21.7039909362793,21.57,30.94,41.18,2329430000.0,,113.460552686542,5.89676136916424,4.92841396948968
2021,Nigeria,23.0,80.3,59.5,26.3,89.2,23.8040262626779,142.790930090716,46.9536655563638,102508968.0,14.1861295700073,42.3900718688965,57.8144989013672,,,57.8193588256836,73.5159912109375,8.01961994171143,34.96,55.45,55.75,1375610000.0,,,,16.9528457221608
2021,North Macedonia,80.2,19.5,100.0,100.0,100.0,30.9676369553426,3793.4499437705,41.112143020028,784953.0,18.6117744445801,62.6685829162598,76.7970962524414,22.7017803192139,21.6956367492676,92.3918533325195,97.1842880249023,20.1716632843018,79.91,90.62,78.0,261820000.0,,115.83354468123,4.21080976112559,3.23074912132919
2021,Norway,100.0,61.4,100.0,100.0,100.0,99.1038297387318,24650.1686290752,46.8232898554815,2940731.0,26.1300392150879,86.59814453125,95.6240463256836,43.8932762145996,39.8116416931152,87.2023010253906,96.0919799804688,34.4795722961426,100.0,98.98,50.61,12138750000.0,,85.1501099346868,0.391633770502513,3.48388055266678
2021,Pakistan,51.0,41.6,94.9,91.9,99.9,28.2808124432761,570.098770866866,22.7006727069609,78814704.0,10.1768083572388,27.7954158782959,48.4065818786621,7.08136034011841,10.1768083572388,38.0621452331543,62.9245910644531,7.08136034011841,13.48,28.18,65.49,12476840000.0,,108.927222425943,,9.49621056124947
2021,Papua New Guinea,9.8,54.5,20.9,14.0,65.2,39.9588024788339,,47.6319512096089,3374107.0,,,,,,,,,,,,133790000.0,52.5838575030141,,16.2269053209577,4.48359014042398
2021,Paraguay,68.6,58.8,100.0,100.0,100.0,,2126.51301236262,41.7608034569186,3412056.0,,54.310001373291,53.3499984741211,,,77.3300018310547,79.5500030517578,,55.35,53.49,37.29,271820000.0,,98.7680880008174,6.64579341677256,4.787983101236
2021,Peru,86.4,30.6,95.6,83.6,98.9,61.2697763467061,1531.64376685862,45.6298825718232,17853296.0,,55.560001373291,66.7200012207031,,,68.7799987792969,78.6800003051758,,53.03,62.32,73.64,3292550000.0,35.2452537131848,96.9835378765455,6.55420064925363,4.27166381536798
2021,Philippines,56.9,28.0,97.5,96.5,98.6,22.7211103754847,846.694921660693,39.5506381926216,44699749.0,18.8504791259766,64.7939682006836,59.1400299072266,29.3138484954834,23.7215309143066,87.9263000488281,83.6290893554688,24.5563278198242,47.42,55.59,65.61,14838030000.0,,111.980539981119,14.289552421245,3.92718022100332
2021,Poland,100.0,15.2,100.0,100.0,100.0,17.4599985525884,4631.20010705876,45.1234778257029,18231897.0,24.4346084594727,97.5792846679688,98.3862915039062,36.8755683898926,26.2579212188721,97.8612670898438,98.9520492553711,31.6396541595459,95.69,95.75,87.22,28263570000.0,,96.7983308773414,2.92109045364879,5.05502704719272
2021,Portugal,100.0,32.3,100.0,100.0,100.0,64.9061770532965,4901.6433485549,49.2719688274369,5158639.0,20.9722499847412,63.2117195129395,65.305793762207,29.1036891937256,22.2114696502686,94.123908996582,97.4921646118164,28.5162925720215,90.18,95.37,67.8,19634520000.0,,102.776690846195,6.00580997592147,1.26565719069044
2021,Romania,100.0,23.6,100.0,100.0,100.0,44.8574239112157,2900.83824132119,42.4376702872259,8418497.0,13.8026008605957,90.4599990844727,94.8199996948242,19.3299999237061,18.1299991607666,98.620002746582,99.1399993896484,14.1383724212646,65.74,72.68,71.19,8931710000.0,55.763127232688,105.652542077195,4.7328902069968,5.05232876096582
2021,Russian Federation,99.3,3.5,100.0,100.0,99.2,19.1544751840582,7186.67544355845,48.5747580073877,73846056.0,39.2299995422363,98.2799987792969,98.9400024414062,76.870002746582,75.5800018310547,99.8300018310547,99.8099975585938,42.8300018310547,90.11,89.26,89.46,5688050000.0,20.8666992191571,89.77529376951,,6.69445891957612
